MacroPlot Name,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
PIPN 01,6/5/2024 1:13:07 PM,,,,,,,,,,,,4,50,Lalor; Tumicki; Brannfors; Westfahl; Gilmore,Tumicki,,,,,True,
PIPN 01,6/5/2024 1:13:07 PM,1,1,14,1,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,2,1,14,2,3,3,PIPN,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,3,2,4,3,5.5,4,PIPN,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,4,3,12,4,5,4,PIPN,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,5,4,14,5,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,6,4,14,6,6,4,PIPN,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,,,,,,,,,,,,4,100,Tumicki; Brannfors,Tumicki,,,,,True,
PIPO 31,6/16/2024 12:56:58 PM,1,2,3,1,4,4,PIPO,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,2,3,2,2,5.5,3,PIPO,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,3,4,1,3,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,4,4,1,4,6,3,PIPO,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,5,4,1,5,5,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,,,,,,,,,,,,4,100,Gilmore; Brannfors,Tumicki,,,,,True,
PIPO 36,6/15/2024 1:00:20 PM,1,1,8,1,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,2,1,8,2,3,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,3,2,6,3,10,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,4,2,6,4,4,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,5,3,8,5,3,3,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,6,4,5,6,7,4,PIPO,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,7,4,5,7,3,4,PIPO,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,,,,,,,,,,,,4,50,Tumicki; Gilmore,Westfahl,,,,,True,
PIEN 15,8/5/2024 1:19:35 PM,1,1,5,1,12,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,2,1,5,2,12,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,3,1,5,3,20,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,4,1,5,4,16,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,5,1,5,5,16.5,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,6,2,4,6,16,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,7,2,4,7,12.5,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,8,2,4,8,7.5,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,9,2,4,9,7,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,10,2,4,10,10,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,11,3,4,11,9,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,12,3,4,12,16,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,13,3,4,13,9,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,14,3,4,14,8,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,15,3,4,15,4,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,16,3,4,16,13.5,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,17,3,4,17,3.5,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,18,4,19,18,11,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,19,4,19,19,15,4,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,20,4,19,20,9.5,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,21,4,19,21,4,3,PIEN,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,22,4,19,22,3.5,3,PIEN,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,,,,,,,,,,,,4,100,Brannfors,Tumicki,,,,,True,
PIPO 30,6/15/2024 12:55:12 PM,1,1,4,1,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,2,1,4,2,6,4,PIPO,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,3,2,3,3,7,3,PIPO,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,4,4,2,4,4,3,PIPO,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,5,4,2,5,5,3,PIPO,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,,,,,,,,,,,,4,50,Brannfors,Tumicki,,,,,True,
PIAB 11,8/1/2024 2:59:35 PM,1,1,12,1,6.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,2,1,12,2,4,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,3,1,12,3,9,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,4,1,12,4,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,5,1,12,5,5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,6,1,12,6,5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,7,2,13,7,10.5,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,8,2,13,8,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,9,2,13,9,5.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,10,2,13,10,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,11,2,13,11,3,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,12,2,13,12,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,13,2,13,13,9,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,14,2,13,14,3.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,15,2,13,15,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,16,3,9,16,3,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,17,3,9,17,5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,18,3,9,18,5.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,19,3,9,19,4,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,20,3,9,20,3.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,21,4,21,21,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,22,4,21,22,7.5,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,23,4,21,23,3,3,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,24,4,21,24,3,4,PIAB,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,25,4,21,25,9,4,PIAB,,,,,,,,,,,,,,
