MacroPlot Name,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
PIPN 01,6/5/2024 1:13:07 PM,,,,,,,,,,,,,4,6,6,12,Lalor; Tumicki; Brannfors; Westfahl; Gilmore,Tumicki,,,,Beefalo poop,True,
PIPN 01,6/5/2024 1:13:07 PM,1,1,178,14,2,3,0,PIPN,L of PIPO #99 @23',,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,2,2,276,4,4,3,0,PIPN,R of PIPO @17'; @ base of PIPO #2,,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,3,3,344,12,1,5,1,PIPN,R of PIPO #75 @10',,,,,,,,,,,,,,,
PIPN 01,6/5/2024 1:13:07 PM,4,4,175,14,2,1,2,PIPN,R of PIPO #85 @30'; L of PIPO @35',,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,,,,,,,,,,,,,4,6,6,12,Tumicki; Brannfors,Tumicki,horse,,,,True,
PIPO 31,6/16/2024 12:56:58 PM,1,1,44,1,4,3,0,PIPO,L of dead JUOS @ 1'; L of JUOS snag @ 56',,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,2,2,273,3,1,2,0,PIPO,L of JUOS @ 10'; L of PIPO @ 37'; L of PIED @ 68',,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,3,3,84,2,2,2,0,PIPO,R of PIPO #35 @ 7'; cross Q1-Q2 tape @ 6.5m,,,,,,,,,,,,,,,
PIPO 31,6/16/2024 12:56:58 PM,4,4,350,1,0,1,1,PIPO,Btw PIPO's @ 69',,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,,,,,,,,,,,,,4,6,6,12,Gilmore; Brannfors,Tumicki,horse,,,,True,
PIPO 36,6/15/2024 1:00:20 PM,1,1,316,8,0,2,0,PIPO,Btwn PIPOs @ 15'; L of PIPO @ 42',,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,2,2,118,6,0,0,0,PIPO,L of PIPO @ 46',,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,3,3,247,8,0,1,1,PIPO,L of PIPO @ 67',,,,,,,,,,,,,,,
PIPO 36,6/15/2024 1:00:20 PM,4,4,127,5,1,1,1,PIPO,R of PIPO @ 16',,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,,,,,,,,,,,,,4,6,6,12,Tumicki; Gilmore,Westfahl,,,,,True,
PIEN 15,8/5/2024 1:19:35 PM,1,1,199,5,30,2,0,PIEN,L of stump #33 @ 15'; 1B is 1m in from Q4-Q1 line @22m,,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,2,2,174,4,2,1,2,PIEN,R of ABLA snag @ 36',,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,3,3,287,4,12,4,2,PIEN,L of blackened stump @ 35',,,,,,,,,,,,,,,
PIEN 15,8/5/2024 1:19:35 PM,4,4,218,19,33,8,2,PIEN,Across Q1-Q2 line @ 7m,,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,,,,,,,,,,,,,4,6,6,12,Brannfors,Tumicki,Horse,,,,True,
PIPO 30,6/15/2024 12:55:12 PM,1,1,248,4,2,3,1,PIPO,R of PIED @ 10'; L of JUOS @ 36'; R of JUOS @ 58'; R of JUOS @ 87',,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,2,2,309,3,1,4,1,PIPO,L of QUGA @ 26'; R of PIPO @ 80',,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,3,3,165,3,4,2,0,PIPO,L of PIED @ 90',,,,,,,,,,,,,,,
PIPO 30,6/15/2024 12:55:12 PM,4,4,355,2,2,0,0,PIPO,Crosses Q3-Q2 @ 26.9 m,,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,,,,,,,,,,,,,4,6,6,12,Brannfors,Tumicki,,,,Beefalo,True,
PIAB 11,8/1/2024 2:59:35 PM,1,1,120,12,1,2,2,PIAB,1B near 12m on P1-P2 tape,,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,2,2,285,13,6,22,2,PIAB,L of PSME poles @ 34' & 42'; under/L of ABCO poles @ 44',,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,3,3,239,9,9,23,0,PIAB,R of big PIPO #65 @ 24'; cross Q3-Q2 tape @ 21.3m,,,,,,,,,,,,,,,
PIAB 11,8/1/2024 2:59:35 PM,4,4,328,21,0,0,2,PIAB,L of twin lil PIPOs @ 5'; weave through PIPO thicket; 4B near 29m on Q4-Q1 tape,,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,,,,,,,,,,,,,4,6,6,12,Lalor; Tumicki,Tumicki,,,,Beefalo,True,
PIAB 02,8/1/2024 3:20:27 PM,1,1,42,5,96,3,0,PIAB,Rebar under P1-P2 tape @14m,,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,2,2,172,1,14,7,0,PIAB,Rebar is 1m in from Q2-Q3 line @9.5m,,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,3,3,4,4,3,5,2,PIAB,3B in log L of base of ABCO #180,,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,4,4,46,5,2,1,5,PIAB,Over big log; across Q1-Q2 line at 34',,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,,,,,,,,,,,,,4,6,6,12,Gilmore,Gilmore,,,,,True,
PIPN 13,9/11/2024 3:02:58 PM,1,1,184,6,2,7,0,PIPN,L of PIPO @ 35',,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,2,2,122,12,0,1,1,PIPN,Uphill,,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,3,3,45,8,2,7,0,PIPN,L of PIPO @ 9',,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,4,4,121,6,0,1,0,PIPN,Toward PUST,,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,,,,,,,,,,,,,4,6,6,12,Tumicki,Brannfors,Beefalo,,,,True,
PIPN 08,9/10/2024 3:01:35 PM,1,1,271,10,0,0,0,PIPN,L of death snag @ 50',,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,2,2,131,1,3,2,0,PIPN,2B at intersection of multiple large DD logs,,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,3,3,247,3,1,2,0,PIPN,3B on Q2-Q3 line @ 19m,,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,4,4,74,1,0,22,7,PIPN,Across Q1-Q2 line @ 1.5m,,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,,,,,,,,,,,,,4,6,6,12,Gilmore,Tumicki,Beefalo,,,,True,
PIAB 06,9/4/2024 2:52:07 PM,1,1,273,18,4,8,4,PIAB,R of BBD stump @ 14'; 1B near P1,,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,2,2,215,18,1,1,0,PIAB,L of small PIPO @ 46',,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,3,3,91,18,5,3,0,PIAB,R of small ABCO @ 10'; cross P1-P2 line @ 13.5m,,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,4,4,318,5,5,12,0,PIAB,R of big freakin' ABCO @ 38',,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,,,,,,,,,,,,,4,6,6,12,Lalor; Brannfors,Tumicki,Beefalo,,,,True,
PIPN 02,6/5/2024 1:14:48 PM,1,1,4,12,0,2,1,PIPN,Left of ORIGIN and just past DD PIPO log,,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,2,2,218,10,0,0,0,PIPN,Toward Q4,,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,3,3,192,12,1,0,0,PIPN,R of 2A @ 33',,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,4,4,96,5,3,6,0,PIPN,Cross Q2-Q3 tape @ 40.2 m; through ROWO @ 43' & 48',,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,,,,,,,,,,,,,4,6,6,12,Brannfors,Gilmore,Beefalo,,,,True,
PIPN 20,9/10/2024 3:04:26 PM,1,1,342,4,0,15,6,PIPN,R of QUGA patch @ 27',,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,2,2,85,7,0,8,2,PIPN,Through messy log; R of PIPO #94 @ 35',,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,3,3,176,1,1,5,2,PIPN,Cross Q4-Q1 tape @ 26.8m,,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,4,4,102,12,1,1,2,PIPN,@ ORIGIN,,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,,,,,,,,,,,,,4,6,6,12,Tumicki,Gilmore,Beefalo,,,,True,
PIPN 16,8/15/2024 3:10:25 PM,1,1,130,30,0,4,0,PIPN,R of PIPO @ 13'; L of PIPO @ 23',,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,2,2,238,14,0,7,3,PIPN,R of PIPO @ 45',,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,3,3,242,12,0,2,2,PIPN,L of PIPO @ 38'; 3B near Q4-Q1 line @ 18m,,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,4,4,218,8,0,0,1,PIPN,L of PIPO @ 3'; 4B along P1-P2 line @7m,,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,,,,,,,,,,,,,4,6,6,12,Lalor,Gilmore,Beefalo,,,,True,
PIPN 18,8/14/2024 3:12:51 PM,1,1,320,2,10,2,0,PIPN,Btwn PIPO poles @ 47',,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,2,2,228,5,0,1,1,PIPN,Over logs; R of PIPO #70 @ 33',,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,3,3,2,12,2,3,0,PIPN,Under same logs from transect 2; L of PIPO #92 @ 31',,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,4,4,126,12,0,6,2,PIPN,R of big cut stump @ 46',,,,,,,,,,,,,,,
PIPN 09,8/20/2024 3:07:39 PM,,,,,,,,,,,,,4,6,6,12,Westfahl,Brannfors,Beefalo,,,,True,
PIPN 09,8/20/2024 3:07:39 PM,1,1,242,10,0,7,0,PIPN,,,,,,,,,,,,,,,,
PIPN 09,8/20/2024 3:07:39 PM,2,2,35,5,0,2,0,PIPN,R of PIPO @ 30'; L of pole #189 @ 48',,,,,,,,,,,,,,,
PIPN 09,8/20/2024 3:07:39 PM,3,3,322,2,2,6,0,PIPN,,,,,,,,,,,,,,,,
PIPN 09,8/20/2024 3:07:39 PM,4,4,251,3,0,4,1,PIPN,Btwn 2B and pole #189,,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,,,,,,,,,,,,,4,6,6,12,Lalor; Hillyard,Tumicki,,,,,True,
PIPO 39,6/16/2024 1:03:37 PM,1,1,169,3,3,0,0,PIPO,L of P1 @59ft; R of PIPO @80ft,,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,2,2,236,1,0,1,0,PIPO,L of PIPO #30 @13ft; R of PIPO #29 @33ft; 2B 8m L of snag,,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,3,3,268,3,0,0,0,PIPO,R of snag @81ft,,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,4,4,6,4,0,0,0,PIPO,L of PIPO #27 @8ft; R of blackened snag @67ft; L of PIPO @81ft,,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,,,,,,,,,,,,,4,6,6,12,Lalor,Brannfors,Beefalo,,,,True,
PIPN 22,8/15/2024 3:16:02 PM,1,1,189,3,3,11,1,PIPN,L of PIPO #74 @16ft; R of PIPO #72 @21ft,,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,2,2,66,2,1,10,1,PIPN,Crosses Q4-Q3 transect @19.5m & 33ft; R of PIPO @ 45',,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,3,3,256,2,2,5,0,PIPN,R of PIPO @ 16'; L of PIPO @ 35',,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,4,4,190,1,0,0,2,PIPN,R of PIPO #57 @ 25',,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,,,,,,,,,,,,,4,6,6,12,Lalor; Gilmore,Gilmore,Beefalo,,,,True,
PIPN 15,8/13/2024 3:09:06 PM,1,1,321,30,1,6,1,PIPN,L of PIPO #47 @ 26',,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,2,2,288,28,0,2,0,PIPN,R of PIPO #45 @ 18',,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,3,3,165,14,1,5,1,PIPN,L of PIPO @ 45',,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,4,4,178,10,0,4,0,PIPN,R of PIPO @ 33',,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,,,,,,,,,,,,,4,6,6,12,Tumicki; Lalor,Tumicki,horse,,,,True,
PIPO 33,6/14/2024 12:58:42 PM,1,1,241,3,1,1,0,PIPO,L of JUOS @ 55',,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,2,2,129,2,6,4,0,PIPO,R of PIED @ 93',,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,3,3,327,3,2,8,0,PIPO,L of PIPO @ 47',,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,4,4,5,0,0,2,0,PIPO,R of JUOS @ 54',,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,,,,,,,,,,,,,4,6,6,12,Lalor; You-Mak,Gilmore,Beefalo,,,,True,
PIAB 25,8/6/2024 11:02:09 AM,1,1,140,10,2,5,0,PIAB,L of ABCO #88 @ 14'; R of PIPO #83 @ 29',,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,2,2,339,2,4,4,1,PIAB,R of ABCO #9 @ 33',,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,3,3,230,1,1,1,0,PIAB,Over stumphole @ 6',,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,4,4,348,0,1,4,0,PIAB,Cross Q4-Q1 tape at 30.2m,,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,,,,,,,,,,,,,4,6,6,12,Brannfors; Gilmore,Gilmore,Beefalo,,,,True,
PIPN 19,8/14/2024 3:13:57 PM,1,1,223,3,2,2,2,PIPN,L of PIPO @ 25'; L of PIPO @ 46',,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,2,2,46,1,0,1,0,PIPN,L of sm. PIPO @ 1'; L of PIPO @ 20'; R of PIPOs @ 42',,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,3,3,188,1,2,2,0,PIPN,Over P2,,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,4,4,162,1,2,3,1,PIPN,R of burnt stump @ 13',,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,,,,,,,,,,,,,4,6,6,12,Gilmore; Westfahl,Gilmore,Beefalo,,,,True,
PIPN 17,8/14/2024 3:11:36 PM,1,1,251,4,0,4,0,PIPN,R of Q3 @ 46',,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,2,2,306,0,3,12,3,PIPN,R of PIPO @ 11',,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,3,3,66,4,1,5,1,PIPN,R of forked PIPO @ 49',,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,4,4,210,3,0,0,0,PIPN,L of big blackened snag @ 28',,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,,,,,,,,,,,,,4,6,6,12,Garber; Gilmore; Brannfors,Tumicki,Bangtails (horses),,,,True,
PIPO 29,6/14/2024 12:43:28 PM,1,1,340,0,0,0,3,PIPO,R of dead lil JUOS @ 37'; R of PIPO @ 66'; L of PIED @ 94',NA,NA,NA,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,2,2,326,4,0,2,0,PIPO,R of PIPO #15 @ 14'; R of dead JUOS @ 63'; L of dead JUOS @ 92',NA,NA,NA,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,3,3,326,3,0,2,0,PIPO,L of PIPO #178 @ 1'; R of PIPO #179 @ 9'; L of JUOS @ 91',NA,NA,NA,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,4,4,38,1,1,4,0,PIPO,R of 3A & PIPO @ 34'; L of JUOS @ 78',NA,NA,NA,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,,,,,,,,,,,,,4,6,6,12,Brannfors; Lalor,Westfahl,,,,,True,
PIEN 14,8/19/2024 1:26:35 PM,1,1,213,5,9,12,1,PIEN,R of big snag @ 20'; R of POTR poles @ 37'; 1B is R of large rock,,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,2,2,74,20,18,18,3,PIEN,L of ABCO pole @ 9'; L of PSME pole @ 26',,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,3,3,21,15,16,3,0,PIEN,Btwn ABCO #151 & PIEN #155 @ 12'; R of PIEN #297 @ 21'; R of PIEN #179 @ 33',,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,4,4,201,19,16,5,1,PIEN,R of stump @ 16'; L of lil PIEN @ 24'; cross Q4-Q1 tape @ 34m,,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,,,,,,,,,,,,,4,6,6,12,Tumicki; Brannfors,Westfahl,,,,,True,
PIEN 17,8/7/2024 1:28:03 PM,1,1,239,7,13,12,3,PIEN,R of ABCO @ 5'. 1m L of POTR @ 20'. R of POTR @ 39'. CEFE. Crosses short tape @ 12.2m,,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,2,2,220,2,28,6,5,PIEN,Over DD ABLA base @ 9'. Between ABLAs (#63 & #64) @ 18',,,,,,,,,,,,,,,
PIEN 17,8/7/2024 1:28:03 PM,3,3,143,29,63,11,1,PIEN,L of #P291 @ 13'; cross Q3-Q2 tape @ 34m; R of CROK POTR @ 47',,,,,,,,,,,,,,,
